,syllabic,consonantal,sonorant,continuant,delayed rel,approximant,tap,trill,nasal,voice,spread gl,constricted gl,labial,round,labiodental,coronal,anterior,distributed,strident,lateral,dorsal,high,low,front,back,tense,
p,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0,
f,-,+,-,+,+,-,-,-,-,-,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0,
m,-,+,+,-,0,-,-,-,+,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0,
w,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,+,+,
t,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0,
t_s,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0,
s,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0,
n,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0,
_,-,+,+,+,0,+,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0,
l,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0,
_,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,0,0,0,0,0,
n_,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-,0,0,0,0,0,
k_,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0,
x_,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0,
__,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0,
j,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,+,
k,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0,
x,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0,
_,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0,
q,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0,
_,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0,
_,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0,
_,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,+,-,+,0,
_,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,0,0,0,-,-,0,0,0,0,0,
h,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,-,-,0,0,0,0,0,
i,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,+,-,+,-,+,
y,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,+,-,+,-,+,
_,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,+,-,-,+,+,
u,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,+,-,-,+,+,
e,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,-,-,+,-,+,
¿,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,-,-,+,-,+,
_,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,-,-,-,+,+,
o,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,-,-,-,+,+,
¾,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,-,+,+,-,0,
_,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,-,+,+,-,0,
_,+,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,0,0,-,+,-,+,0,
_,+,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,0,0,-,+,-,+,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
